tweet_id,retweet_count,favorite_count
826958653328592898,4590,20241
826848821049180160,9300,33915
826615380357632002,3664,0
826598799820865537,229,4843
826598365270007810,2172,9414
826476773533745153,3879,17306
826240494070030336,2409,12492
826204788643753985,855,4580
826115272272650244,2852,14691
825876512159186944,1731,9888
825829644528148480,2323,11978
825535076884762624,16293,53791
825147591692263424,4165,17197
825120256414846976,1165,0
825026590719483904,1165,5886
824796380199809024,5077,0
824775126675836928,3258,14008
824663926340194305,1633,9911
824325613288833024,9850,11135
824297048279236611,3553,14170
824025158776213504,557,4566
823939628516474880,2522,10032
823719002937630720,10306,0
823699002998870016,2329,13156
823581115634085888,2433,12210
823333489516937216,22,662
823322678127919110,3699,14771
823269594223824897,9178,0
822975315408461824,3186,16311
822872901745569793,39724,123612
822859134160621569,2103,12406
822647212903690241,5931,0
822610361945911296,2719,13915
822489057087389700,5931,17047
822462944365645825,13075,26198
822244816520155136,9178,32994
822163064745328640,4349,0
821886076407029760,2130,10634
821813639212650496,3110,0
821765923262631936,1553,7885
821522889702862852,1625,7538
821421320206483457,5103,0
821407182352777218,3976,11058
821153421864615936,8,236
821149554670182400,1818,8084
821107785811234820,1962,9027
821044531881721856,2114,11895
820837357901512704,6211,0
820749716845686786,9148,29708
820690176645140481,2988,11552
820494788566847489,521,0
820446719150292993,2383,0
820314633777061888,521,3152
820078625395449857,5760,18559
820013781606658049,1078,0
819952236453363712,1078,5003
819924195358416896,4523,12192
819711362133872643,2854,12572
819588359383371776,1863,9125
819347104292290561,1115,6811
819238181065359361,378,2133
819227688460238848,6211,21719
819015337530290176,34396,0
